subscription_id,customer_id,product_id,plan,quantity,billing_interval,price,currency,start_date,renewal_date,status,coupon_id
sub_00028,cust_00028,prod_business_mo,Business,13,monthly,461.15,GBP,2023-06-08,2023-07-08,active,
sub_00029,cust_00029,prod_starter_yr,Starter,3,annual,678.50,GBP,2023-06-14,2024-06-14,active,
sub_00030,cust_00030,prod_growth_mo,Growth,14,monthly,115.00,GBP,2023-06-20,2023-07-20,active,
sub_00031,cust_00031,prod_professional_mo,Professional,10,monthly,235.75,GBP,2023-06-26,2023-07-26,active,PROD10
sub_00032,cust_00032,prod_business_mo,Business,19,monthly,461.15,GBP,2023-07-02,2023-08-02,active,
sub_00033,cust_00033,prod_starter_yr,Starter,11,annual,678.50,GBP,2023-07-08,2024-07-08,trialing,
sub_00034,cust_00034,prod_growth_mo,Growth,9,monthly,115.00,GBP,2023-07-14,2023-08-14,active,
sub_00035,cust_00035,prod_professional_mo,Professional,13,monthly,235.75,GBP,2023-07-19,2023-08-19,active,
sub_00036,cust_00036,prod_business_mo,Business,20,monthly,461.15,GBP,2023-07-25,2023-08-25,active,
sub_00037,cust_00037,prod_starter_yr,Starter,19,annual,678.50,GBP,2023-07-31,2024-07-31,active,REFER10
sub_00038,cust_00038,prod_growth_mo,Growth,1,monthly,115.00,GBP,2023-08-06,2023-09-06,active,
sub_00039,cust_00039,prod_professional_mo,Professional,5,monthly,235.75,GBP,2023-08-12,2023-09-12,active,
sub_00040,cust_00040,prod_business_mo,Business,24,monthly,391.98,GBP,2022-01-01,2023-09-18,active,
sub_00041,cust_00041,prod_starter_yr,Starter,13,annual,678.50,GBP,2023-08-24,2024-08-24,active,
sub_00042,cust_00042,prod_growth_mo,Growth,25,monthly,115.00,GBP,2023-08-30,2023-09-30,active,
sub_00043,cust_00043,prod_professional_mo,Professional,10,monthly,235.75,GBP,2023-09-04,2023-10-04,active,
sub_00044,cust_00044,prod_business_mo,Business,6,monthly,461.15,GBP,2023-09-10,2023-10-10,trialing,
sub_00045,cust_00045,prod_starter_yr,Starter,11,annual,678.50,GBP,2023-09-16,2024-09-16,active,
sub_00046,cust_00046,prod_growth_mo,Growth,23,monthly,115.00,GBP,2023-09-22,2023-10-22,active,
sub_00047,cust_00047,prod_professional_mo,Professional,16,monthly,235.75,GBP,2023-09-28,2023-10-28,active,
sub_00048,cust_00048,prod_business_mo,Business,15,monthly,461.15,GBP,2023-10-04,2023-11-04,active,
sub_00049,cust_00049,prod_starter_yr,Starter,21,annual,678.50,GBP,2023-10-10,2024-10-10,active,
sub_00050,cust_00050,prod_growth_mo,Growth,11,monthly,115.00,GBP,2023-10-16,2023-11-16,active,
sub_00051,cust_00051,prod_professional_mo,Professional,20,monthly,235.75,GBP,2023-10-22,2023-11-22,active,
sub_00052,cust_00052,prod_business_mo,Business,9,monthly,461.15,GBP,2023-10-27,2023-11-27,active,
sub_00053,cust_00053,prod_starter_yr,Starter,15,annual,678.50,GBP,2023-11-02,2024-11-02,active,
sub_00054,cust_00054,prod_growth_mo,Growth,15,monthly,115.00,GBP,2023-11-08,2023-12-08,active,
sub_00055,cust_00055,prod_professional_mo,Professional,25,monthly,235.75,GBP,2023-11-14,2023-12-14,active,
sub_00056,cust_00056,prod_business_mo,Business,23,monthly,461.15,GBP,2023-11-20,2023-12-20,active,
sub_00057,cust_00057,prod_starter_yr,Starter,22,annual,678.50,GBP,2023-11-26,2024-11-26,active,
sub_00058,cust_00058,prod_growth_mo,Growth,15,monthly,115.00,GBP,2023-12-02,2024-01-02,active,
sub_00059,cust_00059,prod_professional_mo,Professional,10,monthly,235.75,GBP,2023-12-08,2024-01-08,active,
sub_00060,cust_00060,prod_business_mo,Business,2,monthly,461.15,GBP,2023-12-13,2024-01-13,active,
sub_00061,cust_00061,prod_starter_yr,Starter,6,annual,678.50,GBP,2023-12-19,2024-12-19,active,
sub_00062,cust_00062,prod_growth_mo,Growth,14,monthly,115.00,GBP,2023-12-25,2024-01-25,active,
sub_00063,cust_00063,prod_professional_mo,Professional,1,monthly,235.75,GBP,2023-12-31,2024-01-31,active,
sub_00064,cust_00064,prod_business_mo,Business,20,monthly,461.15,GBP,2024-01-06,2024-02-06,active,
sub_00065,cust_00065,prod_starter_yr,Starter,14,annual,678.50,GBP,2024-01-12,2025-01-12,active,
sub_00066,cust_00066,prod_growth_mo,Growth,4,monthly,115.00,GBP,2024-01-18,2024-02-18,active,
sub_00067,cust_00067,prod_professional_mo,Professional,17,monthly,235.75,GBP,2024-01-24,2024-02-24,active,
sub_00068,cust_00068,prod_business_mo,Business,6,monthly,461.15,GBP,2024-01-29,2024-02-29,active,
sub_00069,cust_00069,prod_starter_yr,Starter,11,annual,678.50,GBP,2024-02-04,2025-02-04,active,
sub_00070,cust_00070,prod_growth_mo,Growth,4,monthly,115.00,GBP,2024-02-10,2024-03-10,active,
sub_00071,cust_00071,prod_professional_mo,Professional,1,monthly,235.75,GBP,2024-02-16,2024-03-16,active,
sub_00072,cust_00072,prod_business_mo,Business,13,monthly,461.15,GBP,2024-02-22,2024-03-22,active,
sub_00073,cust_00073,prod_starter_yr,Starter,1,annual,678.50,GBP,2024-02-28,2025-02-28,active,
sub_00074,cust_00074,prod_growth_mo,Growth,2,monthly,115.00,GBP,2024-03-05,2024-04-05,active,
sub_00075,cust_00075,prod_professional_mo,Professional,25,monthly,235.75,GBP,2024-03-11,2024-04-11,active,
sub_00076,cust_00076,prod_business_mo,Business,22,monthly,461.15,GBP,2024-03-17,2024-04-17,active,
sub_00077,cust_00077,prod_starter_yr,Starter,2,annual,576.72,GBP,2022-06-01,2025-03-22,active,
sub_00078,cust_00078,prod_growth_mo,Growth,14,monthly,115.00,GBP,2024-03-28,2024-04-28,active,
sub_00079,cust_00079,prod_professional_mo,Professional,24,monthly,235.75,GBP,2024-04-03,2024-05-03,active,
sub_00080,cust_00080,prod_business_mo,Business,7,monthly,461.15,GBP,2024-04-09,2024-05-09,active,
sub_00081,cust_00081,prod_starter_yr,Starter,22,annual,678.50,GBP,2024-04-15,2025-04-15,active,
sub_00082,cust_00082,prod_growth_mo,Growth,10,monthly,115.00,GBP,2024-04-21,2024-05-21,active,
sub_00083,cust_00083,prod_professional_mo,Professional,12,monthly,235.75,GBP,2024-04-27,2024-05-27,active,
sub_00084,cust_00084,prod_business_mo,Business,6,monthly,461.15,GBP,2024-05-03,2024-06-03,active,
sub_00085,cust_00085,prod_starter_yr,Starter,15,annual,678.50,GBP,2024-05-08,2025-05-08,active,
sub_00086,cust_00086,prod_growth_mo,Growth,12,monthly,115.00,GBP,2024-05-14,2024-06-14,active,
sub_00087,cust_00087,prod_professional_mo,Professional,18,monthly,235.75,GBP,2024-05-20,2024-06-20,active,
sub_00088,cust_00088,prod_business_mo,Business,15,monthly,461.15,GBP,2024-05-26,2024-06-26,active,
sub_00089,cust_00089,prod_starter_yr,Starter,7,annual,678.50,GBP,2024-06-01,2025-06-01,active,
sub_00090,cust_00090,prod_growth_mo,Growth,11,monthly,115.00,GBP,2024-06-07,2024-07-07,active,
sub_00091,cust_00091,prod_professional_mo,Professional,10,monthly,235.75,GBP,2024-06-13,2024-07-13,active,
sub_00092,cust_00092,prod_business_mo,Business,3,monthly,461.15,GBP,2024-06-19,2024-07-19,active,
sub_00093,cust_00093,prod_starter_yr,Starter,8,annual,678.50,GBP,2024-06-24,2025-06-24,active,
sub_00094,cust_00094,prod_growth_mo,Growth,24,monthly,115.00,GBP,2024-06-30,2024-07-30,active,
sub_00095,cust_00095,prod_professional_mo,Professional,2,monthly,235.75,GBP,2024-07-06,2024-08-06,trialing,
sub_00096,cust_00096,prod_business_mo,Business,7,monthly,461.15,GBP,2024-07-12,2024-08-12,active,
sub_00097,cust_00097,prod_starter_yr,Starter,24,annual,678.50,GBP,2024-07-18,2025-07-18,active,
sub_00098,cust_00098,prod_growth_mo,Growth,3,monthly,115.00,GBP,2024-07-24,2024-08-24,active,
sub_00099,cust_00099,prod_professional_mo,Professional,17,monthly,235.75,GBP,2024-07-30,2024-08-30,active,
sub_00100,cust_00100,prod_business_mo,Business,10,monthly,461.15,GBP,2024-08-05,2024-09-05,active,
sub_00101,cust_00001,prod_starter_yr,Starter,21,annual,678.50,GBP,2024-08-11,2025-08-11,active,
sub_00102,cust_00002,prod_growth_mo,Growth,1,monthly,115.00,GBP,2024-08-16,2024-09-16,active,
sub_00103,cust_00003,prod_professional_mo,Professional,14,monthly,235.75,GBP,2024-08-22,2024-09-22,active,
sub_00104,cust_00004,prod_business_mo,Business,8,monthly,461.15,GBP,2024-08-28,2024-09-28,active,
sub_00105,cust_00005,prod_starter_yr,Starter,6,annual,678.50,GBP,2024-09-03,2025-09-03,active,
sub_00106,cust_00006,prod_growth_mo,Growth,18,monthly,115.00,GBP,2024-09-09,2024-10-09,active,
sub_00107,cust_00007,prod_professional_mo,Professional,20,monthly,235.75,GBP,2024-09-15,2024-10-15,active,
sub_00108,cust_00008,prod_business_mo,Business,9,monthly,461.15,GBP,2024-09-21,2024-10-21,active,
sub_00109,cust_00009,prod_starter_yr,Starter,23,annual,678.50,GBP,2024-09-27,2025-09-27,active,
sub_00110,cust_00010,prod_growth_mo,Growth,8,monthly,115.00,GBP,2024-10-02,2024-11-02,active,
sub_00111,cust_00011,prod_professional_mo,Professional,24,monthly,235.75,GBP,2024-10-08,2024-11-08,active,
sub_00112,cust_00012,prod_business_mo,Business,3,monthly,461.15,GBP,2024-10-14,2024-11-14,active,
sub_00113,cust_00013,prod_starter_yr,Starter,17,annual,678.50,GBP,2024-10-20,2024-01-01,cancelled,
sub_00114,cust_00014,prod_growth_mo,Growth,17,monthly,115.00,GBP,2024-10-26,2024-11-26,active,PARTNER15
sub_00115,cust_00015,prod_professional_mo,Professional,24,monthly,235.75,GBP,2024-11-01,2024-12-01,active,
sub_00116,cust_00016,prod_business_mo,Business,18,monthly,461.15,GBP,2024-11-07,2024-12-07,active,
sub_00117,cust_00017,prod_starter_yr,Starter,19,annual,678.50,GBP,2024-11-13,2025-11-13,active,
sub_00118,cust_00018,prod_growth_mo,Growth,16,monthly,115.00,GBP,2024-11-18,2024-12-18,active,
sub_00119,cust_00019,prod_professional_mo,Professional,19,monthly,235.75,GBP,2024-11-24,2024-12-24,active,
sub_00120,cust_00020,prod_business_mo,Business,5,monthly,461.15,GBP,2024-11-30,2024-12-30,active,
sub_00121,cust_00021,prod_starter_yr,Starter,5,annual,678.50,GBP,2024-12-06,2025-12-06,active,
sub_00122,cust_00022,prod_growth_mo,Growth,13,monthly,115.00,GBP,2024-12-12,2025-01-12,active,
sub_00123,cust_00023,prod_professional_mo,Professional,24,monthly,235.75,GBP,2024-12-18,2025-01-18,active,
sub_00124,cust_00024,prod_business_mo,Business,21,monthly,461.15,GBP,2024-12-24,2025-01-24,active,
sub_00125,cust_00025,prod_starter_yr,Starter,8,annual,678.50,GBP,2024-12-30,2025-12-30,canceled,
sub_00126,cust_00026,prod_growth_mo,Growth,22,monthly,92.00,GBP,2023-08-01,2025-02-05,active,LAUNCH20
sub_00127,cust_00027,prod_professional_mo,Professional,7,monthly,235.75,GBP,2025-01-10,2025-02-10,active,
sub_00128,cust_00028,prod_business_mo,Business,17,monthly,461.15,GBP,2025-01-16,2025-02-16,active,
sub_00129,cust_00029,prod_starter_yr,Starter,8,annual,678.50,GBP,2025-01-22,2026-01-22,active,
sub_00130,cust_00030,prod_growth_mo,Growth,5,monthly,115.00,GBP,2025-01-28,2025-02-28,active,
sub_00131,cust_00031,prod_professional_mo,Professional,11,monthly,235.75,GBP,2025-02-03,2025-03-03,active,
sub_00132,cust_00032,prod_business_mo,Business,8,monthly,461.15,GBP,2025-02-09,2025-03-09,active,
sub_00133,cust_00033,prod_starter_yr,Starter,20,annual,678.50,GBP,2025-02-15,2026-02-15,active,
sub_00134,cust_00034,prod_growth_mo,Growth,25,monthly,115.00,GBP,2025-02-21,2025-03-21,active,DUP10
sub_00135,cust_00035,prod_professional_mo,Professional,16,monthly,235.75,GBP,2025-02-26,2025-03-26,active,
sub_00136,cust_00036,prod_business_mo,Business,11,monthly,461.15,GBP,2025-03-04,2025-04-04,active,
sub_00137,cust_00037,prod_starter_yr,Starter,10,annual,678.50,GBP,2025-03-10,2026-03-10,active,
sub_00138,cust_00038,prod_growth_mo,Growth,22,monthly,115.00,GBP,2025-03-16,2025-04-16,active,
sub_00139,cust_00039,prod_professional_mo,Professional,11,monthly,235.75,GBP,2025-03-22,2025-04-22,active,
sub_00140,cust_00040,prod_business_mo,Business,20,monthly,461.15,GBP,2025-03-28,2025-04-28,active,
sub_00141,cust_00041,prod_starter_yr,Starter,8,annual,678.50,GBP,2025-04-03,2026-04-03,active,
sub_00142,cust_00042,prod_growth_mo,Growth,22,monthly,115.00,GBP,2025-04-09,2025-05-09,active,
sub_00143,cust_00043,prod_professional_mo,Professional,11,monthly,235.75,GBP,2025-04-14,2025-05-14,active,
sub_00144,cust_00044,prod_business_mo,Business,5,monthly,461.15,GBP,2025-04-20,2025-05-20,active,
sub_00145,cust_00045,prod_starter_yr,Starter,11,annual,678.50,GBP,2025-04-26,2026-04-26,active,
sub_00146,cust_00046,prod_growth_mo,Growth,18,monthly,115.00,GBP,2025-05-02,2025-06-02,active,
sub_00147,cust_00047,prod_professional_mo,Professional,5,monthly,235.75,GBP,2025-05-08,2025-06-08,active,
sub_00148,cust_00048,prod_business_mo,Business,16,monthly,461.15,GBP,2025-05-14,2025-06-14,canceled,
sub_00149,cust_00049,prod_starter_yr,Starter,24,annual,678.50,GBP,2025-05-20,2026-05-20,active,
sub_00150,cust_00050,prod_growth_mo,Growth,24,monthly,115.00,GBP,2025-05-26,2025-06-26,active,
sub_dup_cust_00039_0,cust_00039,prod_starter_mo,Starter,1,monthly,67.85,GBP,2024-01-01,2024-02-01,active,
sub_dup_cust_00039_1,cust_00039,prod_starter_mo,Starter,1,monthly,67.85,GBP,2024-01-01,2024-02-01,active,
sub_free_cust_00002,cust_00002,prod_starter_mo,Growth,1,monthly,67.85,GBP,2023-01-01,2023-02-01,active,
